UBS ETF SPI (CHF) A (SPICHA/CH0131872431)
          27.10.2016;
          Time;Price;Volume;
          17:28:48;52.06;1520;
            17:20:21;51.82;17;
            16:57:56;51.78;50;
            16:45:11;51.91;250;
            16:38:45;51.91;2277;
            15:36:18;51.75;158;
            15:13:43;51.98;25;
            14:44:21;51.73;11300;
            14:13:10;51.7;171;
            14:11:41;51.89;4;
            13:50:21;51.65;191;
            13:47:42;51.7;25;
            13:08:53;51.64;69;
            12:38:14;51.69;94;
            12:13:40;51.58;149;
            12:09:15;51.81;304;
            11:41:41;51.77;250;
            11:30:50;51.76;1800;
            10:49:01;51.7;3750;
            10:48:24;51.58;94;
            10:48:23;51.72;1000;
            10:41:58;51.69;420;
            10:14:12;51.85;2185;
            10:13:59;51.85;1500;
            10:13:00;51.85;2000;
            10:12:17;51.85;2000;
            09:34:58;51.57;270;
            09:20:14;51.57;220;
            09:14:44;51.37;500;
            09:14:04;51.4;367;
            09:05:29;51.39;333;
            09:00:32;51.69;778;
            
