UBS ETF SPI (CHF) A (SPICHA/CH0131872431)
          30.11.2016;
          Time;Price;Volume;
          16:07:25;51.72;310;
            15:58:20;51.8;115;
            14:54:57;51.72;65;
            14:20:13;51.81;106;
            14:11:55;51.67;1;
            13:29:58;51.82;248;
            12:47:48;51.64;144;
            10:26:58;51.77;200;
            10:24:03;51.67;2426;
            09:46:47;51.77;1200;
            09:41:26;51.71;400;
            09:32:53;51.65;390;
            09:03:43;51.37;3215;
            
