UBS ETF SPI (CHF) A (SPICHA/CH0131872431)
          10.11.2016;
          Time;Price;Volume;
          17:25:43;51.92;735;
            16:50:43;51.77;25;
            16:31:40;51.81;199;
            16:16:01;51.73;4000;
            14:37:22;52.01;2;
            14:35:01;52.05;2420;
            14:34:56;51.84;1921;
            14:03:33;52.04;531;
            13:47:27;52.1;168;
            13:45:29;52.1;48;
            13:39:54;51.92;236;
            13:39:50;52.12;649;
            12:43:37;52.15;509;
            12:40:34;52.31;750;
            11:13:21;52.16;80;
            10:57:52;52.13;100;
            10:35:07;52.37;240;
            10:20:38;52.37;300;
            10:17:38;52.4;47;
            10:08:13;52.31;60;
            10:05:37;52.13;17;
            10:03:32;52.33;510;
            09:38:25;52.48;700;
            09:38:10;52.47;300;
            09:25:15;52.31;1000;
            09:08:38;51.89;85;
            09:06:40;52.08;247;
            09:00:15;52.3;900;
            
