iShares Core SPI (CH) (CHSPI/CH0237935652)
          10.11.2016;
          Time;Price;Volume;
          17:25:39;98.55;245;
            17:05:19;98.07;2900;
            17:04:48;97.87;1000;
            16:58:46;97.5;2000;
            16:39:29;98;30;
            16:01:58;99.02;10;
            15:48:45;99.39;220;
            15:36:14;99.06;404;
            15:09:20;98.74;380;
            14:55:26;98.77;1010;
            14:54:07;98.69;286;
            14:15:00;98.67;1300;
            14:14:15;98.53;907;
            14:00:30;98.83;145;
            13:43:15;98.8;2;
            13:38:45;98.8;489;
            13:30:10;99;18775;
            13:30:09;99;250;
            12:28:28;99.38;160;
            12:17:03;99.43;164;
            12:15:35;99.42;208;
            12:14:19;99.42;756;
            12:11:58;99.39;792;
            11:42:11;99.36;40;
            11:39:47;99.39;10;
            11:28:42;99.35;400;
            11:19:54;99.45;40;
            11:14:35;99.4;83;
            11:08:01;99.38;1910;
            10:50:57;99.25;8;
            10:45:27;99.24;125;
            10:20:37;99.3;53;
            10:19:44;99.35;50;
            10:12:15;99.38;1000;
            10:09:24;99.34;320;
            10:09:19;99.34;332;
            10:02:46;99.34;190;
            09:27:01;99.45;155;
            09:07:54;98.8;8;
            09:06:21;99;60;
            09:03:48;99;908;
            09:02:35;99.09;200;
            09:00:15;99;196;
            
