UBS ETF SPI (CHF) A (SPICHA/CH0131872431)
          09.12.2016;
          Time;Price;Volume;
          17:27:52;52.97;450;
            17:09:15;52.99;19590;
            17:09:14;52.99;5000;
            17:09:06;52.99;5000;
            17:07:45;52.99;21634;
            17:07:10;52.99;40000;
            17:07:08;52.99;50000;
            17:06:29;52.99;5000;
            17:06:14;52.99;5000;
            17:04:55;52.99;10000;
            17:04:54;52.99;5000;
            17:04:47;52.99;5000;
            17:03:28;53.08;600;
            17:03:10;52.99;5000;
            17:01:16;52.99;35000;
            17:01:13;52.99;5000;
            17:00:44;52.99;5000;
            16:59:11;52.99;5000;
            16:50:59;52.98;50000;
            16:49:18;53;5000;
            16:46:11;52.99;20395;
            16:46:10;52.99;10000;
            16:46:09;52.99;5000;
            16:46:00;52.99;10000;
            16:45:45;52.99;5000;
            16:43:22;52.97;10;
            16:42:32;53.03;2000;
            16:42:20;53;5000;
            16:39:44;53.02;10;
            16:38:53;53;3000;
            16:38:52;53;10000;
            16:37:14;53.03;11000;
            16:35:51;53.08;479;
            16:34:58;53.07;11802;
            16:34:57;53.07;20198;
            16:31:51;52.97;5000;
            16:04:27;52.86;200;
            15:39:23;52.7;550;
            15:14:06;52.66;198;
            15:03:22;52.75;350;
            14:39:49;52.66;1522;
            14:13:19;52.59;500;
            14:12:46;52.58;1000;
            14:05:27;52.47;200;
            13:30:10;52.47;1755;
            13:07:55;52.53;1000;
            12:12:22;52.51;19;
            11:27:22;52.42;100;
            11:06:29;52.27;80;
            09:59:43;52.24;3287;
            09:30:37;52.23;20;
            09:04:14;52.2;584;
            09:01:53;52.18;783;
            
