iShares Core SPI (CH) (CHSPI/CH0237935652)
          21.11.2016;
          Time;Price;Volume;
          17:29:06;97.87;470;
            17:00:05;98.05;5500;
            16:45:18;98.11;470;
            15:42:45;98.05;29;
            14:54:49;97.95;330;
            14:41:04;98;1541;
            14:40:23;97.95;50;
            14:28:53;98.06;100;
            14:27:43;98.05;76;
            14:08:20;98.05;76;
            13:18:40;98;8;
            13:00:40;98.05;84;
            12:34:51;98.1;84;
            11:52:49;98.13;340;
            11:29:58;98.32;1254;
            11:22:56;98.25;58;
            11:20:33;98.25;84;
            11:20:29;98.26;259;
            11:17:52;98.28;474;
            11:17:50;98.27;26;
            11:16:59;98.3;600;
            10:58:58;97.85;8096;
            10:58:56;97.85;2000;
            10:58:25;97.85;84;
            10:21:25;97.82;52;
            10:21:21;97.82;233;
            09:31:01;97.95;25;
            09:14:05;98.15;215;
            09:07:23;98.34;140;
            09:03:53;98.57;1000;
            09:03:42;98.56;110;
            09:01:48;98.79;154;
            
