iShares Core SPI (CH) (CHSPI/CH0237935652)
          09.11.2016;
          Time;Price;Volume;
          17:26:14;98.59;447;
            17:14:57;98.14;38;
            17:14:22;98.12;72;
            16:44:34;97.99;55;
            16:36:39;97.97;125;
            16:21:46;98.11;23;
            16:06:09;98.35;125;
            16:00:19;98.77;15000;
            15:59:55;98.77;2000;
            15:34:26;98.43;420;
            14:29:19;97.3;874;
            14:14:22;97.31;400;
            14:09:06;97.66;6;
            14:01:38;97.72;120;
            13:00:51;97.68;200;
            12:52:16;97.3;6200;
            12:48:41;97.21;760;
            12:20:36;97.33;900;
            12:11:19;97.69;289;
            12:02:02;97.82;1000;
            11:49:46;97.72;65;
            11:37:43;98.11;190;
            11:23:59;97.69;100;
            11:11:58;97.75;1155;
            11:04:41;97.58;250;
            11:03:00;97.86;50;
            10:48:41;97.7;127;
            10:45:22;98.06;260;
            10:44:57;97.7;170;
            10:39:49;97.53;30;
            10:26:50;97.58;75;
            10:11:44;97.4;50;
            09:54:21;97.15;200;
            09:43:06;96.46;4000;
            09:42:18;96.67;285;
            09:41:24;96.56;313;
            09:39:44;96.53;500;
            09:32:19;97.01;115;
            09:30:38;96.91;475;
            09:21:05;97.45;120;
            09:13:10;97.44;42;
            09:09:06;97.16;50;
            09:04:44;96.98;18000;
            09:03:09;96.89;195;
            
