iShares Core SPI (CH) (CHSPI/CH0237935652)
          20.01.2017;
          Time;Price;Volume;
          17:28:04;102.99;1877;
            17:26:35;102.95;123;
            17:24:42;102.95;1860;
            17:21:15;102.95;17;
            16:23:00;102.85;50;
            16:21:15;102.97;355;
            16:21:05;102.9;2;
            16:11:47;102.93;48;
            15:04:00;102.95;150;
            14:59:28;102.94;480;
            14:50:44;102.95;75;
            14:20:28;102.9;700;
            13:05:00;102.85;25;
            12:22:29;103.08;27;
            12:14:54;102.97;92;
            11:45:02;103.11;2570;
            11:44:27;102.97;25;
            11:41:52;102.97;30000;
            11:26:02;102.98;2800;
            11:03:23;103.01;388;
            10:58:05;103.03;53;
            10:53:05;103.05;136;
            10:19:34;103.12;2500;
            10:14:05;102.98;600;
            09:55:31;103.12;320;
            09:53:36;102.98;300;
            09:27:25;102.83;18;
            09:23:56;102.63;527;
            09:00:16;103.38;18;
            
