iShares Core SPI (CH) (CHSPI/CH0237935652)
          18.10.2016;
          Time;Price;Volume;
          17:17:57;100.44;8900;
            17:14:55;100.47;1000;
            16:35:24;100.22;700;
            15:28:33;100.33;359;
            15:24:57;100.39;565;
            14:49:18;100.27;50;
            13:31:19;99.9;10;
            13:19:02;99.91;120;
            11:49:20;100.04;40;
            11:49:19;99.91;4;
            11:48:56;99.91;170;
            11:25:21;100.1;768;
            11:13:05;99.95;105;
            10:55:42;100.17;200;
            10:45:24;100.04;52;
            10:21:24;100.1;154;
            10:02:56;100.11;570;
            09:44:16;100.1;390;
            09:39:48;100;200;
            09:24:38;100.17;35;
            09:23:48;100.18;200;
            09:03:11;99.92;62;
            09:00:36;99.43;63;
            
