UBS ETF SPI (CHF) A (SPICHA/CH0131872431)
          11.11.2016;
          Time;Price;Volume;
          17:29:18;51.45;5485;
            17:22:00;51.54;319;
            17:16:26;51.48;15000;
            14:51:34;51.73;668;
            14:32:14;51.76;518;
            14:06:54;51.58;53;
            13:43:24;51.6;30;
            11:59:13;51.72;151;
            11:39:22;51.6;2000;
            11:26:02;51.72;700;
            11:25:56;51.72;2000;
            11:09:04;51.78;500;
            10:49:15;51.79;2557;
            10:37:08;51.89;800;
            10:34:14;51.98;400;
            10:00:04;51.92;34777;
            
