iShares Core SPI (CH) (CHSPI/CH0237935652)
          24.11.2016;
          Time;Price;Volume;
          17:29:26;97.38;1455;
            17:18:13;97.31;470;
            16:54:51;97.26;269;
            16:41:47;97.25;25;
            16:28:20;97.38;205;
            16:28:07;97.23;19;
            16:27:09;97.38;1320;
            13:34:53;96.92;310;
            11:43:04;97.03;700;
            11:33:38;97.06;75;
            11:14:29;97.03;200;
            10:32:46;96.77;70;
            09:35:43;96.96;55;
            09:03:51;97.05;200;
            
