UBS ETF SPI (CHF) A (SPICHA/CH0131872431)
          04.11.2016;
          Time;Price;Volume;
          17:28:41;50.04;7500;
            17:28:22;50.04;50000;
            17:26:43;50.06;5520;
            17:07:59;50.04;150;
            16:54:57;50;200;
            16:53:31;49.86;2423;
            16:29:50;50.05;75;
            16:22:02;50.08;400;
            16:07:52;49.93;143;
            16:03:20;49.94;863;
            16:02:21;49.94;868;
            15:59:31;49.95;178;
            14:23:02;50.19;1500;
            14:19:36;50.14;841;
            12:20:54;50.17;200;
            12:07:05;50.2;100;
            11:13:39;50.11;1800;
            10:42:49;50.12;1153;
            10:19:29;50.1;500;
            10:17:16;50.07;400;
            10:03:42;50.14;300;
            09:37:18;50.17;503;
            09:31:52;50.09;400;
            09:27:42;50;10300;
            09:00:56;50.25;4000;
            
