iShares Core SPI (CH) (CHSPI/CH0237935652)
          04.11.2016;
          Time;Price;Volume;
          17:26:25;95.03;250;
            17:24:30;95.07;1116;
            17:19:49;95.03;259;
            17:17:55;95.05;105;
            16:51:48;94.87;14116;
            16:50:59;94.9;6500;
            16:50:43;94.9;3500;
            16:50:35;94.91;10000;
            16:50:07;94.92;10000;
            16:48:38;94.94;10000;
            16:25:44;95;160;
            16:16:22;95.06;170;
            16:15:08;95.06;850;
            16:13:11;95.03;100;
            16:08:50;95.1;5300;
            16:05:02;95.01;119;
            16:05:00;95.01;244;
            16:04:59;95.01;297;
            15:51:12;95.1;50;
            15:47:32;95.1;135;
            15:46:45;95.1;265;
            15:46:27;95.11;1057;
            15:43:41;95.09;158;
            15:39:44;95.1;25;
            15:02:40;95.02;59;
            15:02:03;94.85;72;
            14:45:23;94.92;140;
            14:01:10;95.18;210;
            13:52:57;95.27;200;
            13:42:15;95.17;35;
            13:21:04;95.11;51;
            12:02:08;95.23;105;
            11:38:18;95.16;127;
            11:36:28;95.17;340;
            11:14:19;95.07;5;
            11:08:39;95.08;10;
            11:02:17;94.95;25;
            11:02:11;94.96;125;
            10:53:31;95.09;20;
            10:32:01;95.11;4;
            10:31:25;94.92;679;
            10:10:23;95.1;53;
            10:06:14;94.94;1360;
            10:05:32;94.98;3665;
            09:59:21;95.16;10;
            09:52:37;95.18;100;
            09:48:15;95.07;14;
            09:29:38;94.99;150;
            09:26:01;95;1520;
            09:25:37;95.05;100;
            09:21:31;95.07;650;
            09:04:19;95.35;1100;
            09:00:56;95.26;1237;
            
