UBS ETF SPI (CHF) A (SPICHA/CH0131872431)
          17.11.2016;
          Time;Price;Volume;
          17:26:08;52.2;250;
            15:45:32;52.1;400;
            14:38:53;52.06;131;
            14:05:39;52.02;306;
            13:59:33;52.03;402;
            13:37:52;51.93;57;
            13:34:50;52.04;350;
            12:05:05;51.96;860;
            11:40:19;52.03;130;
            11:36:46;52.01;300;
            11:27:28;51.88;590;
            11:03:26;52.07;700;
            10:26:19;51.93;385;
            09:50:08;51.9;3430;
            09:18:51;51.81;250;
            
