iShares Core SPI (CH) (CHSPI/CH0237935652)
          07.12.2016;
          Time;Price;Volume;
          17:19:53;98.55;84;
            16:32:44;98.66;272;
            16:20:38;98.55;6;
            15:51:53;98.39;105;
            15:26:28;98.65;30;
            15:00:58;98.71;380;
            14:51:01;98.74;250;
            14:49:29;98.75;280;
            14:46:27;98.71;250;
            14:31:32;98.65;1525;
            14:21:55;98.5;614;
            13:47:51;98.8;135;
            13:27:02;98.62;250;
            13:19:05;98.68;55;
            12:46:14;98.7;90;
            12:39:21;98.74;100;
            12:22:16;98.89;34;
            12:08:03;98.81;121;
            12:03:28;98.8;19;
            11:48:20;98.84;1300;
            11:46:28;98.9;10;
            11:39:45;98.95;5;
            11:26:35;99.13;31;
            11:21:36;99;54;
            11:12:02;99.05;12;
            10:49:10;99.05;83;
            10:41:29;99.05;600;
            10:28:14;99;200;
            10:26:04;99.03;120;
            10:25:06;98.89;51;
            10:17:37;99;125;
            10:14:23;98.95;101;
            09:57:36;98.88;370;
            09:56:53;98.84;370;
            09:49:38;98.81;340;
            09:32:20;98.83;5;
            09:02:51;98.83;2000;
            
