UBS ETF SPI (CHF) A (SPICHA/CH0131872431)
          31.10.2016;
          Time;Price;Volume;
          17:28:00;51.59;2300;
            17:25:04;51.59;2780;
            16:45:19;51.48;2517;
            16:45:08;51.46;385;
            16:09:39;51.43;940;
            15:20:09;51.57;308;
            15:18:12;51.42;1116;
            15:14:53;51.43;174;
            15:10:24;51.58;202;
            14:59:11;51.42;738;
            14:10:20;51.64;195;
            13:34:27;51.68;675;
            13:13:03;51.69;2310;
            10:24:07;51.49;500;
            09:42:47;51.64;192;
            09:21:54;51.5;1711;
            09:20:26;51.6;39;
            09:17:26;51.76;285;
            
