iShares Core SPI (CH) (CHSPI/CH0237935652)
          02.11.2016;
          Time;Price;Volume;
          17:26:54;96.26;300;
            17:14:00;96.32;69;
            16:49:30;96.37;70;
            16:46:14;96.13;645;
            16:28:09;96.38;200;
            16:00:42;96.2;533;
            15:44:17;96.41;103;
            15:43:54;96.43;520;
            15:06:29;96.62;750;
            14:46:15;96.64;31;
            14:44:34;96.64;275;
            14:35:20;96.67;5;
            14:11:51;96.78;660;
            13:51:21;96.76;80;
            13:51:11;96.75;4;
            13:26:09;96.87;79;
            12:59:21;96.86;150;
            12:21:31;96.87;408;
            11:39:20;96.68;55;
            11:16:20;96.58;15;
            10:14:05;96.56;3706;
            10:07:58;96.41;6080;
            10:04:02;96.49;150;
            10:03:00;96.22;15;
            09:43:49;96.41;20;
            09:40:25;96.48;410;
            09:20:48;96.4;25;
            09:07:39;96.53;10;
            09:07:18;96.35;25;
            09:06:22;96.36;53;
            09:03:21;96.7;88;
            09:00:06;97.11;100;
            
