UBS ETF SPI (CHF) A (SPICHA/CH0131872431)
          01.12.2016;
          Time;Price;Volume;
          17:06:29;51.08;220;
            16:04:28;51.18;941;
            15:39:50;51.14;17;
            14:36:55;51.21;1450;
            14:30:47;51.2;538;
            14:27:58;51.2;197;
            14:16:45;51.2;435;
            14:08:52;51.22;22;
            11:51:08;51.35;1200;
            11:41:59;51.42;19;
            11:29:09;51.42;5855;
            09:44:08;51.54;480;
            09:21:02;51.45;1000;
            09:12:19;51.49;300;
            
