iShares Core SPI (CH) (CHSPI/CH0237935652)
          28.10.2016;
          Time;Price;Volume;
          17:03:28;98.5;100;
            16:23:07;98.24;30;
            16:11:04;98.19;200;
            15:57:21;98.38;180;
            15:51:24;98.44;20;
            15:16:13;98.38;1425;
            14:34:33;98.62;612;
            13:57:08;98.72;277;
            13:38:09;98.67;600;
            13:25:26;98.63;8;
            12:39:18;98.62;360;
            11:44:22;98.49;1000;
            11:03:18;98.23;100;
            10:57:28;98.22;351;
            10:46:38;98.04;510;
            10:38:05;97.97;17;
            10:21:51;98;78;
            10:04:25;98.07;6264;
            10:04:18;98.06;236;
            09:43:41;98.14;25;
            09:04:14;98.25;115;
            09:00:40;98.76;120;
            
