UBS ETF SPI (CHF) A (SPICHA/CH0131872431)
          23.11.2016;
          Time;Price;Volume;
          17:28:19;51.01;2510;
            15:59:49;50.68;5000;
            15:45:59;50.74;200;
            15:17:07;50.71;36;
            14:41:52;50.74;93;
            14:25:37;50.72;31;
            14:08:27;50.81;300;
            13:10:19;50.69;759;
            12:18:12;50.75;70;
            11:20:25;50.9;2000;
            11:00:36;50.85;823;
            10:29:01;51.03;4000;
            10:17:49;50.97;1000;
            09:46:41;51.02;194;
            09:34:19;51.05;1340;
            
