UBS ETF SPI (CHF) A (SPICHA/CH0131872431)
          07.11.2016;
          Time;Price;Volume;
          17:29:35;50.75;180;
            17:23:37;50.9;200;
            16:42:23;50.89;233;
            16:41:12;50.74;216;
            16:31:12;50.85;9650;
            16:28:18;50.81;390;
            16:16:56;50.79;2350;
            15:24:10;50.89;200;
            15:20:49;50.9;140;
            15:17:37;50.9;1909;
            14:59:06;50.68;791;
            14:59:01;50.88;13;
            14:57:27;50.88;12;
            14:56:14;50.88;149;
            14:51:52;50.69;536;
            14:48:02;50.89;500;
            14:44:55;50.89;215;
            14:37:47;50.91;1107;
            13:39:43;50.84;590;
            12:33:57;50.69;2034;
            11:35:13;50.83;50;
            10:58:22;50.63;47;
            10:47:40;50.82;2100;
            10:41:39;50.8;100;
            10:33:10;50.9;520;
            10:27:57;50.9;400;
            10:27:31;50.91;110;
            10:12:49;50.85;1000;
            09:46:00;50.81;850;
            09:30:32;50.73;50;
            09:26:35;50.75;65;
            09:20:11;50.73;250;
            09:07:24;50.64;4000;
            09:04:15;50.65;460;
            09:01:23;50.85;465;
            
